County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
Ferry,53019940000,20,8748,155.73,92.8,266.36,3
Ferry,53019970100,37,13919,149.98,102.52,231.38,3
Ferry,53019970200,48,16293,159,113.08,239.54,4
Franklin,53021020100,43,55583,200.02,140.02,279.26,6
Franklin,53021020200,39,30268,202.04,141.6,284.07,7
Franklin,53021020300,43,29084,182.9,132.29,246.73,5
Franklin,53021020400,114,47377,305.31,249.03,371.56,10
Franklin,53021020501,35,25919,126.49,86.98,180.79,2
Franklin,53021020502,76,48692,140.96,110.73,178.16,3
Franklin,53021020601,66,59365,171.05,131.34,219.6,5
Franklin,53021020603,18,20578,352.8,182.83,634.92,10
Franklin,53021020605,53,48747,178.65,130.86,239.42,5
Franklin,53021020606,31,41440,120.84,79.55,180.49,2
Franklin,53021020700,11,7643,292.43 (NR),110.67 (NR),659.26 (NR),10
Franklin,53021020800,32,48283,107.82,73.06,154.28,1
Franklin,53021980100,0,0,0 (NR),0 (NR),0 (NR),1
Garfield,53023970300,31,11055,114.22,75.39,208.91,1
Grant,53025010100,64,19567,185.8,140.67,250.68,6
Grant,53025010200,40,16081,219.71,154.64,307.33,8
Grant,53025010300,82,21382,218.17,171.69,281.2,7
Grant,53025010400,120,42508,214.15,175.68,260.38,7
Grant,53025010500,32,15362,193.39,131.2,278.85,6
Grant,53025010600,47,38434,151.25,110.1,204.34,3
Grant,53025010700,29,16783,151.14,99.18,225.57,3
Grant,53025010800,55,23489,312.4,233.12,412.58,10
Grant,53025010901,17,7224,292.57,156.29,517.32,10
Grant,53025010902,108,52325,234.89,192.02,284.86,8
Grant,53025011000,178,64060,224.56,192.1,261.78,8
Grant,53025011100,106,39120,215,175.1,263.22,7
Grant,53025011200,76,28950,240.56,188.58,305.65,8
Grant,53025011300,26,20180,167.8,106.41,255.91,4
Grant,53025011401,15,10009,156.93 (NR),85.66 (NR),268.62 (NR),4
Grant,53025011402,38,70986,140.47,96.79,198.06,2
Grays Harbor,53027000200,160,42575,196.2,162.78,240.72,6
Grays Harbor,53027000300,56,16400,245.23,183.48,329.67,9
